6495366376,Render,Fail,;L1Cobalt;L2Cobalt;,302,LILY_AUBLOAD_ERROR,Memory Manager::MM_MEM_OUT_OF_BOUNDS: Exceeded boundary of surface: 2,;GEN:HAS:1209978055;GEN:HAS:14010514642;GEN:HAS:1405920159;GEN:HAS:1406394351;GEN:HAS:1406990250;GEN:HAS:1408986326;GEN:HAS:1607016051;GEN:HAS:398254;,GucProducerConsumerStress.gsf,[],Active,0.85,8,,PTL,PTL:2X4X8:A0,HWFE/GuC/Semaphore,,75405,;emu3d;emugt;emumedia;,,HWFE/MicroController,5705989,22640723,267790
6475085349,Render,Pass,;L1Cobalt;L2Cobalt;,0,SUCCESS,SUCCESS,;GEN:HAS:1209977693;GEN:HAS:1209978018;GEN:HAS:1209978055;GEN:HAS:14010514642;GEN:HAS:1405920159;GEN:HAS:1406394351;GEN:HAS:1406990250;GEN:HAS:1408961087;GEN:HAS:1408986326;GEN:HAS:1409033976;GEN:HAS:1607016051;GEN:HAS:395360;GEN:HAS:398254;GEN:HAS:399245;,GucProducerConsumerStress.gsf,[],Active,0.85,9,,PTL,PTL:2X4X8:A0,HWFE/GuC/Semaphore,,75196,;emu3d;emugt;emumedia;,;Global.MemoryCaches.GraphicsVirtualization;,HWFE/MicroController,5705990,22640724,267475
6475085381,Render,Pass,;L1Cobalt;L2Cobalt;,0,SUCCESS,SUCCESS,;GEN:HAS:397983;GEN:HAS:14011194489;,GuC2HostInterruptGeneration.gsf,[],Active,0.25,1,,PTL,PTL:2X4X8:A0,HWFE/Interrupts,,75196,;emugt;emu3d;emumedia;,;Global.CommandStreamer.InterruptRepartitioningMedia;,HWFE/MicroController,5706564,22640725,267475
,Render,Pass,;L1Cobalt;L2Cobalt;,,,,;GEN:HAS:1209977693;GEN:HAS:1209978018;GEN:HAS:1209978019;GEN:HAS:1408961087;GEN:HAS:1409033976;GEN:HAS:395360;GEN:HAS:399245;,miUserInterruptAllEngine.gsf,[],Active,0.25,6,,PTL,PTL:2X4X8:A0,HWFE/Interrupts,,72838,;emu3d;emumedia;silicon;,;Global.MemoryCaches.GraphicsVirtualization;,HWFE/Interrupt,5709842,22640728,255653
,Render,Pass,;L1Cobalt;L2Cobalt;,,,,;GEN:HAS:1209977693;GEN:HAS:1209978018;GEN:HAS:1209978019;GEN:HAS:1408961087;GEN:HAS:1409033976;GEN:HAS:395360;GEN:HAS:399245;,miUserInterruptAllEngine.gsf,[],Active,0.25,8,,PTL,PTL:2X4X8:A0,HWFE/Interrupts,,72838,;emu3d;emumedia;silicon;,;Global.MemoryCaches.GraphicsVirtualization;,HWFE/Interrupt,5709844,22640729,255653
6495366370,Render,Fail,;L1Cobalt;L2Cobalt;,302,LILY_AUBLOAD_ERROR,ExplicitPlacementErrorMessage::Problem placing region 0x34.,;GEN:HAS:1209978055;GEN:HAS:1209978161;GEN:HAS:1407909645;GEN:HAS:1408789165;GEN:HAS:395599;GEN:HAS:396310;GEN:HAS:398567;GEN:HAS:398589;,multiplePPGTT.gsf,[],Active,0.85,4,,PTL,PTL:2X4X8:A0,HWFE/MemoryInterface,,75405,;emu3d;emugt;emumedia;,;3D.FixedFunction.PositionOnlyShader;Global.MultiEngineConcurrency;,HWFE/MemoryInterface,5711059,22640730,267790
6495366375,Render,Fail,;L1Cobalt;L2Cobalt;,302,LILY_AUBLOAD_ERROR,ExplicitPlacementErrorMessage::Problem placing region 0x34.,;GEN:HAS:1209978055;GEN:HAS:1209978161;GEN:HAS:1407909645;GEN:HAS:1408789165;GEN:HAS:395599;GEN:HAS:396310;GEN:HAS:398567;GEN:HAS:398589;,multiplePPGTT.gsf,[],Active,0.85,9,,PTL,PTL:2X4X8:A0,HWFE/MemoryInterface,,75405,;emu3d;emugt;emumedia;,;3D.FixedFunction.PositionOnlyShader;Global.MultiEngineConcurrency;,HWFE/MemoryInterface,5711064,22640731,267790
,Render,Pass,;L1Cobalt;L2Cobalt;,,,,;GEN:HAS:397983;GEN:HAS:395835;GEN:HAS:398254;,contextSwitchInterrupt.gsf,[],Active,0.85,0,,PTL,PTL:2X4X8:A0,HWFE/Interrupts,,72838,;emugt;emu3d;emumedia;silicon;,;Global.CommandStreamer.InterruptRepartitioningMedia;,HWFE/Interrupt,5711659,22640732,255653
,Render,Pass,;L1Cobalt;L2Cobalt;,,,,;GEN:HAS:397983;GEN:HAS:395835;GEN:HAS:398254;,contextSwitchInterrupt.gsf,[],Active,0.85,1,,PTL,PTL:2X4X8:A0,HWFE/Interrupts,,72838,;emugt;emu3d;emumedia;silicon;,;Global.CommandStreamer.InterruptRepartitioningMedia;,HWFE/Interrupt,5711660,22640733,255653
,Render,Pass,;L1Cobalt;L2Cobalt;,,,,;GEN:HAS:397983;GEN:HAS:395835;GEN:HAS:398254;,contextSwitchInterrupt.gsf,[],Active,0.85,2,,PTL,PTL:2X4X8:A0,HWFE/Interrupts,,72838,;emugt;emu3d;emumedia;silicon;,;Global.CommandStreamer.InterruptRepartitioningMedia;,HWFE/Interrupt,5711661,22640734,255653
,Render,Pass,;L1Cobalt;L2Cobalt;,,,,;GEN:HAS:397983;GEN:HAS:395835;GEN:HAS:398254;,contextSwitchInterrupt.gsf,[],Active,0.85,3,,PTL,PTL:2X4X8:A0,HWFE/Interrupts,,72838,;emugt;emu3d;emumedia;silicon;,;Global.CommandStreamer.InterruptRepartitioningMedia;,HWFE/Interrupt,5711662,22640735,255653
